=Below Budget,=Above Budget,Address Number,Amount for P&L (% of Gross Sales),Amount for P&L (Margins),Amount for P&L,Amount2,Amount,Amount_%,Amount_Size,Amount_label,Amount in 000s,Selected Category,Calculation2,Gross Margin M,Inventory Turns,Inventory Units,Profit Margin,Selected Year (start),Sales Quantity,Distinct Orders,Inventory Value in 1000,New YYYYMM,Selected Metric Biz Mix,Net Margin Calc Field,=Space,Performance Eval Legend,Inventory Value,Selected Metric (sort),Amount Minus,Category (Margins),Category (group) 1,Category (group),Category Color,Category,Channel,Channel_Filter,CostPrice*StockOH,CostPrice,Customer - Product Desc,Customer - Product Segmentation,Customer Segment (group),Customer,Distribution Channel Mgr,Gross Profit M,SG&A,Indirect Expenses,"Taxes, Interest",COGS,Gross Sales and Profit Amount,Gross Sales Amount,Inventory Value (copy 2),Inventory Value (step1),Customer Location,Operating Income M,Profit M,Net Sales,Operating Margin M,OrderID,Product Category (group),Product Category,Product,Product Type Desc,Region,Region_Filter,Sales Price (weighted avg),SegmentDesc+Region,Customer Segment,Selected Metric Value,Selected Metric Unit,Selected Year (end),StockOH,ThroughputQty,YYYYMM,Year Filter,Year To Date Filter,title_Target,title_COGS,title_Indirect_Expenses,title_Portfolio_Average,title_Margin,title_from_Gross_Sales,title_Selected_Metric
Below Budget,Above Budget,10010970,$195,$195,$195,,$195,,,,0.19475,Dairy,1,,2,76,,1/1/2012,,1,7.4442,7/1/2013 12:00:00 AM,0.19475,, ,Above Budget,"$7,444",,-0.19475,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,7444.2,$98,Yogurt,Dairy,S Markets,EDP,JL,,,,,,,,"$7,444","$7,444",Irving,,,0.19475,,13486,Other,Dairy,Yogurt,Dairy,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,76,152,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10007564,"$13,005","$13,005","$13,005",,"$13,005",,,,13.00463,Deli,1,,46.009049774,110.5,,1/1/2012,,1,15.61144,7/1/2013 12:00:00 AM,13.00463,, ,Above Budget,"$15,611",,-13.00463,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,15611.44,$141,Hot Dogs,Deli,S Markets,CAM Group,JL,,,,,,,,"$15,611","$15,611",Cleveland,,,13.00463,,12780,Deli,Deli,Hot Dogs,Meat,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,110.5,5084,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10024541,$272,$272,$272,,$272,,,,0.2724,Frozen Foods,1,,2,895,,1/1/2012,,1,0.40275,7/1/2013 12:00:00 AM,0.2724,, ,Above Budget,$403,,-0.2724,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,402.75,$0,Popsicles,Frozen Foods,S Markets,Southern Company,JL,,,,,,,,$403,$403,Bedford,,,0.2724,,12868,Other,Frozen Foods,Popsicles,Frozen Desserts,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,895,1790,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10010970,$86,$86,$86,,$86,,,,0.08597,Frozen Foods,1,,12,57,,1/1/2012,,1,2.24808,7/1/2013 12:00:00 AM,0.08597,, ,Above Budget,"$2,248",,-0.08597,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,2248.08,$39,TV Dinner,Frozen Foods,S Markets,EDP,JL,,,,,,,,"$2,248","$2,248",Irving,,,0.08597,,12294,Other,Frozen Foods,TV Dinner,Frozen Entrees,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,57,684,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,20015128,"$39,065","$39,065","$39,065",,"$39,065",,,,39.06458,Frozen Foods,1,,21.987951807,830,,1/1/2012,,1,84.1537,7/1/2013 12:00:00 AM,39.06458,, ,Above Budget,"$84,154",,-39.06458,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,84153.7,$203,Pizza,Frozen Foods,S Markets,CAM Group,JL,,,,,,,,"$168,307","$168,307",Cleveland,,,39.06458,,25557,Other,Frozen Foods,Pizza,Pizza,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,830,18250,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10010970,$12,$12,$12,,$12,,,,0.0118,Frozen Foods,1,,17.272727273,5.5,,1/1/2012,,1,0.077605,7/1/2013 12:00:00 AM,0.0118,, ,Above Budget,$78,,-0.0118,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,77.605,$14,Pizza,Frozen Foods,S Markets,EDP,JL,,,,,,,,$78,$78,Irving,,,0.0118,,13306,Other,Frozen Foods,Pizza,Pizza,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,5.5,95,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,20019286,$166,$166,$166,,$166,,,,0.16576,Produce,1,,10.04,100,,1/1/2012,,1,2.82,7/1/2013 12:00:00 AM,0.16576,, ,Above Budget,"$2,820",,-0.16576,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,2820,$56,Fresh Fruit,Produce,S Markets,David Spencer Ltd.,JL,,,,,,,,"$5,640","$5,640",Flint,,,0.16576,,25244,Produce,Produce,Fresh Fruit,Fruit,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,100,1004,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10024541,$50,$50,$50,,$50,,,,0.05046,Produce,1,,4,682,,1/1/2012,,1,15.5837,7/1/2013 12:00:00 AM,0.05046,, ,Above Budget,"$15,584",,-0.05046,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,15583.7,$23,Fresh Vegetables,Produce,S Markets,Southern Company,JL,,,,,,,,"$15,584","$15,584",Bedford,,,0.05046,,12865,Produce,Produce,Fresh Vegetables,Vegetables,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,682,2728,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10010970,$26,$26,$26,,$26,,,,0.02609,Snack Foods,1,,2,773.5,,1/1/2012,,1,12.461085,7/1/2013 12:00:00 AM,0.02609,, ,Above Budget,"$12,461",,-0.02609,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,12461.085,$16,Chips,Snack Foods,S Markets,EDP,JL,,,,,,,,"$12,461","$12,461",Irving,,,0.02609,,13484,Other,Snack Foods,Chips,Snack Foods,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,773.5,1547,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10010970,$69,$69,$69,,$69,,,,0.06941,Snack Foods,1,,3.983050847,59,,1/1/2012,,1,1.51335,7/1/2013 12:00:00 AM,0.06941,, ,Above Budget,"$1,513",,-0.06941,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,1513.35,$26,Dried Fruit,Snack Foods,S Markets,EDP,JL,,,,,,,,"$1,513","$1,513",Irving,,,0.06941,,13286,Other,Snack Foods,Dried Fruit,Snack Foods,Africa,True,,Supermarkets-Africa,Markets,,%,1/1/2013 12:00:00 AM,59,235,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10021184,$126,$126,$126,,$126,,,,0.12621,Alcoholic Beverages,1,,13.964912281,57,,1/1/2012,,1,2.35809,7/1/2013 12:00:00 AM,0.12621,, ,Above Budget,"$2,358",,-0.12621,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,2358.09,$41,Beer,Alcoholic Beverages,Stores,Pacific Sierra Research,JL,,,,,,,,"$2,358","$2,358",Aurora,,,0.12621,,13052,Beverages,Alcoholic Beverages,Beer,Beer and Wine,Americas,True,,Convenience Stores-Americas,Stores,,%,1/1/2013 12:00:00 AM,57,796,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10004256,"$3,597","$3,597","$3,597",,"$3,597",,,,3.597,Alcoholic Beverages,1,,13.964912281,57,,1/1/2012,,1,2.35809,7/1/2013 12:00:00 AM,3.597,, ,Above Budget,"$2,358",,-3.597,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,2358.09,$41,Beer,Alcoholic Beverages,Stores,Benedict,JL,,,,,,,,"$2,358","$2,358",Portland,,,3.597,,13575,Beverages,Alcoholic Beverages,Beer,Beer and Wine,Americas,True,,Convenience Stores-Americas,Stores,,%,1/1/2013 12:00:00 AM,57,796,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10022456,$79,$79,$79,,$79,,,,0.07916,Alcoholic Beverages,1,,5.833333333,6,,1/1/2012,,1,0.08334,7/1/2013 12:00:00 AM,0.07916,, ,Above Budget,$83,,-0.07916,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,83.34,$14,Beer,Alcoholic Beverages,Stores,Ra Co Amo,JL,,,,,,,,$83,$83,Rancho Cordova,,,0.07916,,12762,Beverages,Alcoholic Beverages,Beer,Beer and Wine,Americas,True,,Convenience Stores-Americas,Stores,,%,1/1/2013 12:00:00 AM,6,35,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10016588,$0,$0,$0,,$0,,,,0,Alcoholic Beverages,1,,13.964912281,57,,1/1/2012,,1,2.35809,7/1/2013 12:00:00 AM,0,, ,Above Budget,"$2,358",,0,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,2358.09,$41,Beer,Alcoholic Beverages,Stores,Homebound,JL,,,,,,,,"$2,358","$2,358",Schertz,,,0,,12339,Beverages,Alcoholic Beverages,Beer,Beer and Wine,Americas,True,,Convenience Stores-Americas,Stores,,%,1/1/2013 12:00:00 AM,57,796,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10004256,$193,$193,$193,,$193,,,,0.19294,Alcoholic Beverages,1,,23.989569752,383.5,,1/1/2012,,1,4.383405,7/1/2013 12:00:00 AM,0.19294,, ,Above Budget,"$4,383",,-0.19294,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,4383.405,$11,Wine,Alcoholic Beverages,Stores,Benedict,JL,,,,,,,,"$4,383","$4,383",Portland,,,0.19294,,13578,Beverages,Alcoholic Beverages,Wine,Beer and Wine,Americas,True,,Convenience Stores-Americas,Stores,,%,1/1/2013 12:00:00 AM,383.5,9200,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,30067368,$139,$139,$139,,$139,,,,0.13882,Alcoholic Beverages,1,,2.465949821,139.5,,1/1/2012,,1,1.794345,7/1/2013 12:00:00 AM,0.13882,, ,Above Budget,"$1,794",,-0.13882,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,1794.345,$50,Wine,Alcoholic Beverages,Stores,Ra Co Amo,JL,,,,,,,,"$6,951","$6,951",Rancho Cordova,,,0.13882,,39102,Beverages,Alcoholic Beverages,Wine,Beer and Wine,Americas,True,,Convenience Stores-Americas,Stores,,%,1/1/2013 12:00:00 AM,139.5,344,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,20044912,$510,$510,$510,,$510,,,,0.50963,Baked Goods,1,,2,142,,1/1/2012,,1,14.04522,7/1/2013 12:00:00 AM,0.50963,, ,Above Budget,"$14,045",,-0.50963,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,14045.22,$198,Bagels,Baked Goods,Stores,Ra Co Amo,JL,,,,,,,,"$28,090","$28,090",Rancho Cordova,,,0.50963,,26403,Baking,Baked Goods,Bagels,Bread,Americas,True,,Convenience Stores-Americas,Stores,,%,1/1/2013 12:00:00 AM,142,284,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10016588,$0,$0,$0,,$0,,,,0,Baked Goods,1,,2,71,,1/1/2012,,1,7.02261,7/1/2013 12:00:00 AM,0,, ,Above Budget,"$7,023",,0,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,7022.61,$99,Bagels,Baked Goods,Stores,Homebound,JL,,,,,,,,"$7,023","$7,023",Schertz,,,0,,12629,Baking,Baked Goods,Bagels,Bread,Americas,True,,Convenience Stores-Americas,Stores,,%,1/1/2013 12:00:00 AM,71,142,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,30067368,$499,$499,$499,,$499,,,,0.49873,Baked Goods,1,,4.235381199,675.5,,1/1/2012,,1,9.46927,7/1/2013 12:00:00 AM,0.49873,, ,Above Budget,"$9,469",,-0.49873,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,9469.27,$143,Muffins,Baked Goods,Stores,Ra Co Amo,JL,,,,,,,,"$96,603","$96,603",Rancho Cordova,,,0.49873,,39719,Baking,Baked Goods,Muffins,Bread,Americas,True,,Convenience Stores-Americas,Stores,,%,1/1/2013 12:00:00 AM,675.5,2861,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,20033176,$0,$0,$0,,$0,,,,0,Baked Goods,1,,15.175675676,74,,1/1/2012,,1,2.02341,7/1/2013 12:00:00 AM,0,, ,Above Budget,"$2,023",,0,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,2023.41,$82,Muffins,Baked Goods,Stores,Homebound,JL,,,,,,,,"$6,096","$6,096",Schertz,,,0,,25473,Baking,Baked Goods,Muffins,Bread,Americas,True,,Convenience Stores-Americas,Stores,,%,1/1/2013 12:00:00 AM,74,1123,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,30067368,$314,$314,$314,,$314,,,,0.31365,Baked Goods,1,,3.423076923,78,,1/1/2012,,1,1.684895,7/1/2013 12:00:00 AM,0.31365,, ,Above Budget,"$1,685",,-0.31365,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,1684.895,$128,Sliced Bread,Baked Goods,Stores,Ra Co Amo,JL,,,,,,,,"$10,010","$10,010",Rancho Cordova,,,0.31365,,38185,Baking,Baked Goods,Sliced Bread,Bread,Americas,True,,Convenience Stores-Americas,Stores,,%,1/1/2013 12:00:00 AM,78,267,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,20033176,$0,$0,$0,,$0,,,,0,Baked Goods,1,,8.542372881,59,,1/1/2012,,1,4.563795,7/1/2013 12:00:00 AM,0,, ,Above Budget,"$4,564",,0,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,4563.795,$104,Sliced Bread,Baked Goods,Stores,Homebound,JL,,,,,,,,"$6,158","$6,158",Schertz,,,0,,25473,Baking,Baked Goods,Sliced Bread,Bread,Americas,True,,Convenience Stores-Americas,Stores,,%,1/1/2013 12:00:00 AM,59,504,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10021184,$59,$59,$59,,$59,,,,0.05859,Baking Goods,1,,2,54.5,,1/1/2012,,1,1.675875,7/1/2013 12:00:00 AM,0.05859,, ,Above Budget,"$1,676",,-0.05859,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,1675.875,$31,Cooking Oil,Baking Goods,Stores,Pacific Sierra Research,JL,,,,,,,,"$1,676","$1,676",Aurora,,,0.05859,,13062,Baking,Baking Goods,Cooking Oil,Baking Goods,Americas,True,,Convenience Stores-Americas,Stores,,%,1/1/2013 12:00:00 AM,54.5,109,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10009676,$0,$0,$0,,$0,,,,0,Baking Goods,1,,6,65,,1/1/2012,,1,1.14595,7/1/2013 12:00:00 AM,0,, ,Above Budget,"$1,146",,0,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,1145.95,$18,Cooking Oil,Baking Goods,Stores,Deak-Perera Group.,JL,,,,,,,,"$1,146","$1,146",Kalamazoo,,,0,,13305,Baking,Baking Goods,Cooking Oil,Baking Goods,Americas,True,,Convenience Stores-Americas,Stores,,%,1/1/2013 12:00:00 AM,65,390,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10022456,$400,$400,$400,,$400,,,,0.39966,Baking Goods,1,,6,65,,1/1/2012,,1,1.14595,7/1/2013 12:00:00 AM,0.39966,, ,Above Budget,"$1,146",,-0.39966,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,1145.95,$18,Cooking Oil,Baking Goods,Stores,Ra Co Amo,JL,,,,,,,,"$1,146","$1,146",Rancho Cordova,,,0.39966,,13407,Baking,Baking Goods,Cooking Oil,Baking Goods,Americas,True,,Convenience Stores-Americas,Stores,,%,1/1/2013 12:00:00 AM,65,390,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
Below Budget,Above Budget,10009647,$83,$83,$83,,$83,,,,0.08288,Baking Goods,1,,3.998190045,552.5,,1/1/2012,,1,1.6575,7/1/2013 12:00:00 AM,0.08288,, ,Above Budget,"$1,658",,-0.08288,Net Sales,Net Sales,P&L,,Net Sales,Wholesale,True,1657.5,$3,Cooking Oil,Baking Goods,Stores,Dayton Malleable Inc.,JL,,,,,,,,"$1,658","$1,658",Sacramento,,,0.08288,,13483,Baking,Baking Goods,Cooking Oil,Baking Goods,Americas,True,,Convenience Stores-Americas,Stores,,%,1/1/2013 12:00:00 AM,552.5,2209,7/1/2010 12:00:00 AM,False,False,Target,COGS,Indirect Expenses,Portfolio Avg.,Margin,% Gross Sales,Gross Margin in %
